variant,train_through,test_year,train_trade_count,train_profit_factor,train_expectancy,train_total_return_pct,test_trade_count,test_profit_factor,test_expectancy,test_total_return_pct,test_max_drawdown_pct
long_only,2021,2022,17,0.2905241926498726,-1.0951478416205107,-0.9308756653774508,37,0.3308989409817673,-1.1045393649784063,-2.0625980485182382,2.0625980485182382
long_only,2022,2023,54,0.31876562327118835,-1.1015827742916615,-2.974273490587487,52,0.3799225731525015,-0.8226031608834887,-2.204331052434383,2.277165602837339
long_only,2023,2024,106,0.34575690032593526,-0.9647248507329351,-5.113041708884525,31,0.6362791624141519,-0.4534809103290473,-0.7407713595935062,1.0945769205633726
long_only,2024,2025,137,0.40335380147290384,-0.8490419153130774,-5.815937119894543,38,0.3448369450527923,-0.9145468221103483,-1.84493948219423,1.84493948219423
long_only,2025,2026,175,0.3908376273705271,-0.8632658379319134,-7.553576081904245,13,0.26256493376177736,-1.3567278499065252,-0.9539288433921045,0.9723013494440713
short_only,2021,2022,23,0.2521580331358461,-1.3986040615010453,-1.6083946707262098,49,0.6829508003849448,-0.3805062113247866,-0.9474794263452213,1.4191902517536659
short_only,2022,2023,72,0.5009633899472208,-0.7057319134644247,-2.54063488847186,38,0.07596337953228746,-1.6649539704866305,-3.245878464634544,3.245878464634544
short_only,2023,2024,110,0.33008234816858484,-1.037099533163005,-5.704047432396497,36,0.530853952751457,-0.6165896103246487,-1.1769978120626856,1.3510773444786683
short_only,2024,2025,146,0.3737363280445032,-0.9334121549288898,-6.813908730980856,33,1.004375248996796,0.0038599711512332453,0.006834659886267858,0.8507637277596736
short_only,2025,2026,179,0.44815364233034666,-0.7606189696738951,-6.807539778581317,11,0.3681714608654245,-0.7355360785872154,-0.4340961084854267,0.6106199298878345
both,2021,2022,40,0.2669173236517533,-1.2621490907553092,-2.524298181510587,85,0.479182687243644,-0.7241342789369196,-3.157269584180755,3.2145701494044165
both,2022,2023,125,0.40103102471785523,-0.8962990187188042,-5.6018688669924765,89,0.23026449475959695,-1.1325454468950134,-5.338905737002109,5.37852673814101
both,2023,2024,214,0.33071087275461236,-0.9945510379135829,-10.641696105675392,66,0.5741305674060526,-0.5258555208395955,-1.9419831656863784,2.114715154618396
both,2024,2025,280,0.3803675553937301,-0.884072808889,-12.377019324446048,71,0.6013035900157584,-0.42739375321422945,-1.7315638114714482,1.905154893199934
both,2025,2026,351,0.4157235830970688,-0.7916961338094881,-13.894267148356565,23,0.3221627964080635,-0.9301360897835032,-1.2422593337588994,1.2605783560772688
