variant,year,start,end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,return_over_drawdown,trade_count,trades_per_year,win_rate_pct,profit_factor,expectancy,avg_win,avg_loss,sharpe_simplified,exposure_time_pct,avg_trade_duration_bars,total_fees
long_only,2021,2021-05-01 00:00:00+00:00,2021-12-31 23:55:00+00:00,1929.7219958603478,-3.513900206982612,-5.213850987502832,3.528937773848273,-0.9957387837844296,91,136.2202868852459,29.67032967032967,0.4180319822064504,-0.7722857597764049,1.8696746771473363,-1.8868628191036085,-4.223688499084654,0.20691609977324263,1.6043956043956045,52.60202199494114
long_only,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,1864.1715309141932,-3.3968864472071036,-3.408350491046308,3.482067394495736,-0.9755372490999796,91,91.3125,24.175824175824175,0.4148958813613826,-0.7203347796280583,2.112803288192538,-1.623654163570857,-3.3665974921245745,0.13222983257229834,1.5274725274725274,52.91985084525378
long_only,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00,1817.058521118756,-2.527289415922629,-2.5358573118904104,2.8459865138151685,-0.8880187603330164,93,93.31936813186813,24.731182795698924,0.34808170612770817,-0.5065915031767303,1.0937071332105162,-1.0324039122753972,-3.6958347222579095,0.1617199391171994,1.8279569892473118,54.382027057508665
long_only,2024,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00,1697.1273980365474,-6.600289516727697,-6.604657574497475,6.600289516727697,-1.0,110,110.07534246575342,16.363636363636363,0.16942722013045622,-1.0902829371109763,1.3591421676050774,-1.5695182836858568,-5.858202365545411,0.14420157862780814,1.3818181818181818,59.51277858763742
long_only,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,1610.5093393750576,-5.103804155286196,-5.12087434345424,5.103804155286196,-1.0,116,116.39835164835165,20.689655172413794,0.22542311253354977,-0.7467074022542108,1.0503429195256435,-1.2155031383706947,-5.276518304004238,0.15601217656012176,1.4137931034482758,60.610252785749275
long_only,2026,2026-01-01 00:00:00+00:00,2026-04-30 23:55:00+00:00,1596.505278681158,-0.8695423461085761,-2.64497308617625,1.0997617324589926,-0.7906643052257678,27,82.87184873949579,18.51851851851852,0.43099598388851473,-0.5186689145888607,2.121494311568796,-1.1187060114428733,-2.81062901023844,0.10416666666666667,1.3333333333333333,13.4406162368495
short_only,2021,2021-05-01 00:00:00+00:00,2021-12-31 23:55:00+00:00,1952.8873650015857,-2.355631749920717,-3.505486245357625,2.394749120203321,-0.98366535769756,60,89.81557377049181,35.0,0.4089189038516143,-0.7852105833068974,1.5520589698668597,-2.0437403427081513,-3.1721104148812254,0.1445578231292517,1.7,34.259636057408635
short_only,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,1885.7382596550958,-3.438452547233073,-3.4500543513312443,3.438452547233073,-1.0,81,81.27815934065934,23.456790123456788,0.3245975186762864,-0.8290013005739586,1.6985141670508934,-1.6035624922654457,-2.537143678742677,0.1189117199391172,1.5432098765432098,47.36956908697063
short_only,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00,1797.9653917744688,-4.654562605983337,-4.670167499575706,4.654562605983337,-1.0,83,83.28502747252747,15.66265060240964,0.09675601337492111,-1.057504432296701,0.7232522998613717,-1.3882163968403431,-6.434261860999876,0.1341324200913242,1.6987951807228916,48.709980720956246
short_only,2024,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00,1706.5715842018208,-5.083179464452792,-5.0865710062263485,5.168308754821805,-0.9835285981531984,105,105.07191780821918,20.0,0.1961039840290468,-0.8704172149775812,1.061656484380055,-1.3534356398169902,-5.208525632885865,0.13945810564663022,1.4,57.43974223175323
short_only,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,1636.5420070452171,-4.103524153623894,-4.117321765754967,4.103524153623894,-1.0,106,106.36401098901098,22.641509433962266,0.2499808133423277,-0.6606563882698522,0.9725334902008672,-1.1386631819685993,-4.813381642501925,0.15030441400304415,1.490566037735849,55.9352710500362
short_only,2026,2026-01-01 00:00:00+00:00,2026-04-30 23:55:00+00:00,1622.2640700253446,-0.8724454953436434,-2.653723946149933,0.8838614115650456,-0.9870840427333645,29,89.01050420168066,27.586206896551722,0.40498586318907065,-0.4923426558576487,1.214753207281646,-1.1426648894345228,-3.4508270537421954,0.14467592592592593,1.7241379310344827,14.209152848744655
both,2021,2021-05-01 00:00:00+00:00,2021-12-31 23:55:00+00:00,1894.9601485979683,-5.251992570101582,-7.758332285761693,5.274190361403452,-0.9957912419194587,150,224.53893442622953,33.33333333333333,0.4456615042634786,-0.7002656760135343,1.688939828046544,-1.8948684280435735,-4.813189354443214,0.35005668934240364,1.6466666666666667,85.20634221723108
both,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,1758.693792540037,-7.190987956066053,-7.214769270015475,7.210786537577974,-0.9972543104127763,174,174.59752747252747,22.413793103448278,0.3477829861316723,-0.783139977344437,1.8631174944179407,-1.5476143580757906,-4.3518487420091425,0.25209284627092843,1.5229885057471264,97.15508594072061
both,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00,1631.055884491157,-7.257540146572971,-7.281532811062341,7.28943462287247,-0.9956245610325632,178,178.61126373626374,20.224719101123593,0.19743689173229087,-0.7170668991510036,0.8722204997123519,-1.1199848312572063,-7.401614423012088,0.2977549467275495,1.7584269662921348,95.68379213951644
both,2024,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00,1446.6658308657268,-11.304950086548061,-11.312237732134168,11.384499176116957,-0.9930125086454589,215,215.1472602739726,18.6046511627907,0.18360803513060373,-0.8576281563973481,1.0367414459183195,-1.2906269226409293,-7.845771739507353,0.2865057680631451,1.4046511627906977,102.86637218575645
both,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,1317.1038345138495,-8.955903539543996,-8.985233716098085,8.955903539543996,-1.0,220,220.75549450549448,21.363636363636363,0.23167069858561198,-0.5889181652357985,0.8311960783717361,-0.9747295493372673,-7.136320616300188,0.30441400304414,1.4545454545454546,96.07035182291608
both,2026,2026-01-01 00:00:00+00:00,2026-04-30 23:55:00+00:00,1295.1733708988284,-1.6650519906136196,-5.023068961284782,1.8750380168700675,-0.8880097233404526,57,174.9516806722689,24.561403508771928,0.4368317070385006,-0.3847449757021305,1.2150544361283175,-0.905609900484137,-4.306267577270808,0.24016203703703703,1.456140350877193,22.803338744828373
